Gênero,Cargo,Faixa_Etária,Departamento,Instrução,Tipo_Contrato
Masculino,Júnior,<=25,RH,Superior,Efetivo
Masculino,Júnior,26-35,RH,Médio,Temporário
Feminino,Pleno,46+,RH,Médio,Terceirizado
Masculino,Sênior,46+,Operações,Superior,Efetivo
Masculino,Júnior,36-45,Operações,Superior,Temporário
Feminino,Sênior,26-35,Operações,Médio,Terceirizado
Masculino,Júnior,26-35,Operações,Médio,Efetivo
Masculino,Pleno,36-45,TI,Pós-graduação,Efetivo
Feminino,Sênior,26-35,TI,Superior,Efetivo
Masculino,Júnior,26-35,Operações,Superior,Temporário
Feminino,Gerente,<=25,Comercial,Médio,Efetivo
Masculino,Sênior,36-45,Operações,Médio,Efetivo
Masculino,Pleno,46+,RH,Superior,Efetivo
Masculino,Pleno,<=25,RH,Médio,Efetivo
Masculino,Sênior,26-35,TI,Superior,Temporário
Masculino,Gerente,36-45,TI,Médio,Efetivo
Masculino,Júnior,26-35,Comercial,Médio,Efetivo
Feminino,Júnior,46+,Comercial,Médio,Efetivo
Feminino,Júnior,36-45,TI,Superior,Efetivo
Masculino,Pleno,26-35,Comercial,Superior,Temporário
Feminino,Sênior,<=25,TI,Superior,Efetivo
Feminino,Pleno,36-45,TI,Médio,Terceirizado
Masculino,Júnior,26-35,Operações,Superior,Efetivo
Masculino,Júnior,<=25,RH,Superior,Efetivo
Feminino,Diretor,<=25,Operações,Pós-graduação,Efetivo
Feminino,Pleno,26-35,Operações,Superior,Efetivo
Feminino,Sênior,26-35,TI,Médio,Terceirizado
Feminino,Sênior,36-45,TI,Pós-graduação,Efetivo
Feminino,Pleno,36-45,RH,Médio,Terceirizado
Feminino,Pleno,26-35,RH,Superior,Efetivo
Feminino,Júnior,36-45,TI,Médio,Terceirizado
Masculino,Pleno,26-35,Operações,Superior,Temporário
Masculino,Júnior,<=25,RH,Pós-graduação,Efetivo
Masculino,Pleno,46+,RH,Superior,Efetivo
Feminino,Gerente,26-35,Operações,Médio,Terceirizado
Masculino,Pleno,26-35,Operações,Superior,Temporário
Feminino,Júnior,46+,Comercial,Superior,Efetivo
Feminino,Diretor,26-35,RH,Médio,Efetivo
